"id","agcy_agencies_id","title","tags","created_at","created_by_agency_member_id","updated_at","updated_by_agency_member_id","deleted_at","deleted_by_agency_member_id"
1,1,"วัดป่าวังน้ำเย็น ที่เที่ยวมหาสารคาม จุดเช็คอิน วัดดัง สายบุญต้องห้ามพลาด","มหาสารคราม,ที่เที่ยวมหาสารคราม","2021-01-28 07:35:28",1,"2021-01-28 07:41:10",1,NULL,NULL
2,1,"สักการะ อนุสาวรีย์พระนางจามเทวี ปฐมกษัตริย์ แห่ง นครหริภุญไชย ณ เมืองลําพูน","อนุสาวรีย์พระนางจามเทวี,ที่เที่ยวลำพูน","2021-01-28 07:43:07",1,"2021-01-28 07:43:07",1,NULL,NULL
3,1,"ขอพรความรัก 9 ที่ขอแฟน ในกรุงเทพ พิกัด ขอคู่ สละโสด สละคาน งานนี้ไม่มีนก !","","2021-01-28 07:44:29",1,"2021-01-28 07:44:45",1,NULL,NULL
4,1,"11 จุดเช็คอิน วันเที่ยว ตรุษจีน 2564 ชวนครอบครัวออกไปชิล ทั้งในและใกล้กรุงเทพ","ตรุษจีน,ตรุษจีน 2564,Chinese New Year","2021-01-28 07:48:58",1,"2021-02-22 09:51:05",272,NULL,NULL
6,1,"วัดพระแท่นศิลาอาสน์ ที่เที่ยวอุตรดิตถ์ โบราณสถาน คู่เมืองลับแล","วัดพระแท่นศิลาอาสน์,ที่เที่ยวอุตรดิตถ์,โบราณสถาน","2021-01-28 07:55:01",1,"2021-01-28 07:55:01",1,NULL,NULL
7,1,"ดอยธง ที่เที่ยวปาย ชมทะเลหมอกสวยรอบเขา 360 องศา เคล้าอากาศหนาวเย็นจับใจ","","2021-01-28 08:02:32",1,"2021-02-02 02:37:19",1,NULL,NULL
8,38,"วัดร่องเสือเต้น หรือ วัดสีน้ำเงิน ศรัทธา สืบสาน สีน้ำเงิน","เที่ยวไทย,เที่ยวเชียงราย,ทัวร์เชียงราย,วัดร่องเสือเต้น,วัดสีน้ำเงิน,เชียงราย,เที่ยวเหนือ","2021-01-29 02:52:13",111,"2021-01-29 02:55:51",111,NULL,NULL
9,91,"เมืองโทเลโด ประเทศสเปน","TOLEDO,ยุโรป,tour,travel,สเปน","2021-02-01 03:02:41",328,"2021-02-01 03:02:41",328,NULL,NULL
10,1,"ปารีสเตรียมปรับโฉม ถนนฌ็องเซลิเซ่ เพิ่มสีเขียวลดมลพิษ คาดแล้วเสร็จ 2030","ปารีส,ฝรั่งเศส","2021-02-02 03:04:05",1,"2021-02-02 03:04:05",1,NULL,NULL
11,32,"ไหว้ไอ้ไข่ยังให้ร่ำรวยสมหวังสมปารถนาแบบสุดปัง","","2021-02-04 09:29:22",146,"2021-02-04 09:52:44",146,NULL,NULL
